trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount
2016-04-25,399300.SZ,3162.033,3164.738,3172.269,3137.113,3174.901,-12.868,-0.4053,67519351.0,74734848.036
2016-04-26,399300.SZ,3179.161,3159.771,3181.095,3150.404,3162.033,17.128,0.5417,59020734.0,68871554.173
2016-04-27,399300.SZ,3165.916,3181.931,3188.826,3162.691,3179.161,-13.245,-0.4166,60004147.0,70620405.995
2016-04-28,399300.SZ,3160.581,3169.333,3174.766,3135.643,3165.916,-5.335,-0.1685,69870660.0,78876767.222
2016-04-29,399300.SZ,3156.745,3153.537,3171.289,3149.397,3160.581,-3.836,-0.1214,58029776.0,70807704.222
2016-05-03,399300.SZ,3213.54,3159.823,3218.485,3151.405,3156.745,56.795,1.7992,98164835.0,115733867.591
2016-05-04,399300.SZ,3209.461,3203.465,3222.882,3198.292,3213.54,-4.079,-0.1269,90862408.0,97797134.813
2016-05-05,399300.SZ,3213.92,3204.169,3217.282,3196.566,3209.461,4.459,0.1389,74733681.0,83946496.908
2016-05-06,399300.SZ,3130.354,3213.136,3216.893,3130.147,3213.92,-83.566,-2.6001,108680240.0,119265216.104
2016-05-09,399300.SZ,3065.615,3115.43,3115.43,3055.005,3130.354,-64.739,-2.0681,99230477.0,100409213.4876
2016-05-10,399300.SZ,3069.112,3055.211,3084.724,3055.183,3065.615,3.497,0.1141,68849935.0,70650764.1472
2016-05-11,399300.SZ,3082.808,3080.636,3102.876,3063.088,3069.112,13.696,0.4463,81794258.0,87323408.3417
2016-05-12,399300.SZ,3090.137,3059.383,3095.348,3035.022,3082.808,7.329,0.2377,78765726.0,81418792.6062
2016-05-13,399300.SZ,3074.935,3081.679,3103.095,3064.691,3090.137,-15.202,-0.492,62629755.0,65850995.6487
2016-05-16,399300.SZ,3095.308,3064.526,3095.555,3053.661,3074.935,20.373,0.6626,59461856.0,64405200.0201
2016-05-17,399300.SZ,3086.024,3095.522,3105.201,3073.459,3095.308,-9.284,-0.2999,65278125.0,75389385.458
2016-05-18,399300.SZ,3068.035,3071.529,3072.612,3039.461,3086.024,-17.989,-0.5829,82715369.0,88458847.1148
